time,open,high,low,close,volume
2025-01-02 13:00:00+00:00,157.126,157.28,157.046,157.196,4940
2025-01-02 14:00:00+00:00,157.194,157.208,157.01,157.074,5401
2025-01-02 15:00:00+00:00,157.072,157.232,156.709,156.822,9047
2025-01-02 16:00:00+00:00,156.821,157.113,156.633,157.023,9966
2025-01-02 17:00:00+00:00,157.021,157.181,156.78,157.139,10791
2025-01-02 18:00:00+00:00,157.14,157.745,157.125,157.654,8963
2025-01-02 19:00:00+00:00,157.656,157.846,157.487,157.558,7507
2025-01-02 20:00:00+00:00,157.559,157.629,157.46,157.495,5071
2025-01-02 21:00:00+00:00,157.493,157.669,157.468,157.615,3961
2025-01-02 22:00:00+00:00,157.613,157.648,157.56,157.621,3406
2025-01-02 23:00:00+00:00,157.622,157.628,157.451,157.451,2523
2025-01-03 00:00:00+00:00,157.385,157.468,157.355,157.456,568
2025-01-03 01:00:00+00:00,157.456,157.562,157.346,157.354,1872
2025-01-03 02:00:00+00:00,157.354,157.398,157.167,157.205,5139
2025-01-03 03:00:00+00:00,157.204,157.4,157.179,157.275,4210
2025-01-03 04:00:00+00:00,157.275,157.35,157.241,157.305,3860
2025-01-03 05:00:00+00:00,157.305,157.453,157.179,157.302,3988
2025-01-03 06:00:00+00:00,157.304,157.385,157.242,157.276,3826
2025-01-03 07:00:00+00:00,157.276,157.351,157.232,157.293,3842
2025-01-03 08:00:00+00:00,157.293,157.293,157.122,157.167,2950
2025-01-03 09:00:00+00:00,157.165,157.258,157.034,157.135,5680
2025-01-03 10:00:00+00:00,157.134,157.417,157.123,157.329,4549
2025-01-03 11:00:00+00:00,157.328,157.328,157.08,157.245,5236
2025-01-03 12:00:00+00:00,157.244,157.38,157.162,157.368,3428
2025-01-03 13:00:00+00:00,157.368,157.385,157.196,157.239,2852
2025-01-03 14:00:00+00:00,157.239,157.251,157.057,157.158,4418
2025-01-03 15:00:00+00:00,157.157,157.233,157.018,157.178,4598
2025-01-03 16:00:00+00:00,157.18,157.307,157.068,157.068,5850
2025-01-03 17:00:00+00:00,157.081,157.49,157.081,157.397,8714
2025-01-03 18:00:00+00:00,157.397,157.4,157.196,157.199,4791
2025-01-03 19:00:00+00:00,157.199,157.205,156.87,157.163,4901
2025-01-03 20:00:00+00:00,157.162,157.235,157.101,157.159,2568
2025-01-03 21:00:00+00:00,157.158,157.221,157.1,157.199,2328
2025-01-03 22:00:00+00:00,157.199,157.35,157.134,157.335,2799
2025-01-03 23:00:00+00:00,157.334,157.368,157.231,157.255,1714
2025-01-06 00:00:00+00:00,157.148,157.373,157.148,157.318,675
2025-01-06 01:00:00+00:00,157.324,157.523,157.321,157.499,3406
2025-01-06 02:00:00+00:00,157.51,157.826,157.493,157.584,6673
2025-01-06 03:00:00+00:00,157.586,157.667,157.48,157.611,5424
2025-01-06 04:00:00+00:00,157.613,157.769,157.562,157.713,4727
2025-01-06 05:00:00+00:00,157.711,157.783,157.65,157.709,4527
2025-01-06 06:00:00+00:00,157.71,157.749,157.651,157.717,3424
2025-01-06 07:00:00+00:00,157.718,157.803,157.67,157.773,3460
2025-01-06 08:00:00+00:00,157.774,157.787,157.624,157.65,3939
2025-01-06 09:00:00+00:00,157.648,157.689,157.528,157.656,3906
2025-01-06 10:00:00+00:00,157.658,157.759,157.612,157.658,4713
2025-01-06 11:00:00+00:00,157.659,157.762,157.584,157.732,5182
2025-01-06 12:00:00+00:00,157.731,157.912,157.679,157.898,3651
2025-01-06 13:00:00+00:00,157.898,157.959,157.158,157.193,9760
2025-01-06 14:00:00+00:00,157.194,157.204,156.611,156.78,9342
2025-01-06 15:00:00+00:00,156.778,156.806,156.233,156.607,9779
2025-01-06 16:00:00+00:00,156.609,157.417,156.46,157.277,11738
2025-01-06 17:00:00+00:00,157.274,157.65,157.189,157.527,9476
