time,open,high,low,close,volume
2025-07-21 06:35:00+00:00,172.611,172.612,172.577,172.595,352
2025-07-21 06:40:00+00:00,172.593,172.602,172.515,172.516,307
2025-07-21 06:45:00+00:00,172.511,172.575,172.502,172.567,285
2025-07-21 06:50:00+00:00,172.566,172.583,172.562,172.577,440
2025-07-21 06:55:00+00:00,172.579,172.584,172.553,172.581,475
2025-07-21 07:00:00+00:00,172.581,172.599,172.565,172.583,439
2025-07-21 07:05:00+00:00,172.583,172.601,172.578,172.598,185
2025-07-21 07:10:00+00:00,172.597,172.616,172.589,172.611,287
2025-07-21 07:15:00+00:00,172.61,172.615,172.597,172.612,176
2025-07-21 07:20:00+00:00,172.613,172.631,172.609,172.614,333
2025-07-21 07:25:00+00:00,172.612,172.624,172.605,172.618,277
2025-07-21 07:30:00+00:00,172.617,172.624,172.6,172.621,288
2025-07-21 07:35:00+00:00,172.622,172.637,172.617,172.637,367
2025-07-21 07:40:00+00:00,172.637,172.654,172.633,172.645,334
2025-07-21 07:45:00+00:00,172.644,172.655,172.636,172.639,336
2025-07-21 07:50:00+00:00,172.64,172.64,172.603,172.613,368
2025-07-21 07:55:00+00:00,172.612,172.623,172.598,172.62,318
2025-07-21 08:00:00+00:00,172.62,172.621,172.558,172.56,402
2025-07-21 08:05:00+00:00,172.561,172.575,172.497,172.503,281
2025-07-21 08:10:00+00:00,172.502,172.537,172.501,172.534,254
2025-07-21 08:15:00+00:00,172.534,172.547,172.491,172.494,302
2025-07-21 08:20:00+00:00,172.494,172.498,172.475,172.477,163
2025-07-21 08:25:00+00:00,172.477,172.498,172.452,172.489,338
2025-07-21 08:30:00+00:00,172.49,172.524,172.488,172.505,459
2025-07-21 08:35:00+00:00,172.504,172.52,172.486,172.509,292
2025-07-21 08:40:00+00:00,172.509,172.526,172.476,172.494,278
2025-07-21 08:45:00+00:00,172.493,172.52,172.484,172.508,406
2025-07-21 08:50:00+00:00,172.508,172.533,172.508,172.519,461
2025-07-21 08:55:00+00:00,172.519,172.537,172.507,172.511,453
2025-07-21 09:00:00+00:00,172.512,172.52,172.425,172.457,416
2025-07-21 09:05:00+00:00,172.457,172.459,172.396,172.4,583
2025-07-21 09:10:00+00:00,172.399,172.401,172.301,172.304,485
2025-07-21 09:15:00+00:00,172.304,172.311,172.239,172.25,423
2025-07-21 09:20:00+00:00,172.25,172.309,172.246,172.28,435
2025-07-21 09:25:00+00:00,172.282,172.284,172.183,172.191,593
2025-07-21 09:30:00+00:00,172.193,172.193,172.02,172.054,695
2025-07-21 09:35:00+00:00,172.053,172.071,171.997,172.057,712
2025-07-21 09:40:00+00:00,172.057,172.146,172.043,172.079,585
2025-07-21 09:45:00+00:00,172.079,172.111,172.056,172.081,440
2025-07-21 09:50:00+00:00,172.083,172.228,172.072,172.214,569
