time,open,high,low,close,volume
2025-01-02 13:00:00+00:00,1.03162,1.03337,1.03144,1.03317,3794
2025-01-02 14:00:00+00:00,1.03317,1.03338,1.03142,1.03177,4368
2025-01-02 15:00:00+00:00,1.03177,1.03291,1.03107,1.03127,6895
2025-01-02 16:00:00+00:00,1.03128,1.03233,1.03016,1.03052,6001
2025-01-02 17:00:00+00:00,1.0303,1.03082,1.02719,1.02734,8344
2025-01-02 18:00:00+00:00,1.02734,1.02756,1.02231,1.02606,9553
2025-01-02 19:00:00+00:00,1.02606,1.02675,1.02506,1.02644,5415
2025-01-02 20:00:00+00:00,1.02646,1.02657,1.02553,1.02559,3190
2025-01-02 21:00:00+00:00,1.0256,1.02592,1.02473,1.02504,2664
2025-01-02 22:00:00+00:00,1.02506,1.02639,1.02501,1.02608,1949
2025-01-02 23:00:00+00:00,1.02608,1.02679,1.02603,1.02603,1050
2025-01-03 00:00:00+00:00,1.02571,1.02662,1.02549,1.02644,408
2025-01-03 01:00:00+00:00,1.02644,1.02676,1.02634,1.02672,575
2025-01-03 02:00:00+00:00,1.02672,1.0273,1.02653,1.02724,1040
2025-01-03 03:00:00+00:00,1.02725,1.02725,1.02659,1.02668,1721
2025-01-03 04:00:00+00:00,1.02668,1.02741,1.02661,1.02717,1411
2025-01-03 05:00:00+00:00,1.02718,1.0274,1.02681,1.02701,994
2025-01-03 06:00:00+00:00,1.027,1.02702,1.02666,1.02691,869
2025-01-03 07:00:00+00:00,1.02691,1.0273,1.0264,1.02712,1032
2025-01-03 08:00:00+00:00,1.02713,1.02788,1.0271,1.02786,978
2025-01-03 09:00:00+00:00,1.02786,1.02843,1.02682,1.02803,4508
2025-01-03 10:00:00+00:00,1.02803,1.02877,1.02721,1.02798,3906
2025-01-03 11:00:00+00:00,1.02798,1.02994,1.02796,1.02897,3740
2025-01-03 12:00:00+00:00,1.02896,1.02931,1.02785,1.02807,2947
2025-01-03 13:00:00+00:00,1.02807,1.03023,1.02807,1.02967,2707
2025-01-03 14:00:00+00:00,1.02966,1.03003,1.02938,1.0295,2942
2025-01-03 15:00:00+00:00,1.02953,1.02996,1.02908,1.02926,3640
2025-01-03 16:00:00+00:00,1.02925,1.03017,1.02873,1.02998,4540
2025-01-03 17:00:00+00:00,1.02981,1.03052,1.02725,1.02886,7774
2025-01-03 18:00:00+00:00,1.02886,1.02993,1.02828,1.02902,3682
2025-01-03 19:00:00+00:00,1.02905,1.03053,1.0290300000000001,1.02974,3451
2025-01-03 20:00:00+00:00,1.02973,1.03016,1.02919,1.02967,2558
2025-01-03 21:00:00+00:00,1.02968,1.03056,1.02932,1.03007,2034
2025-01-03 22:00:00+00:00,1.03007,1.0307,1.02983,1.03051,2137
2025-01-03 23:00:00+00:00,1.0305,1.03094,1.03041,1.03073,893
2025-01-06 00:00:00+00:00,1.02984,1.03057,1.0295,1.03005,703
2025-01-06 01:00:00+00:00,1.03003,1.03073,1.02998,1.03044,1063
2025-01-06 02:00:00+00:00,1.03044,1.03047,1.02949,1.03023,2212
2025-01-06 03:00:00+00:00,1.03023,1.0313,1.03006,1.03116,2521
2025-01-06 04:00:00+00:00,1.03115,1.03171,1.03102,1.03155,1941
2025-01-06 05:00:00+00:00,1.03156,1.03177,1.03125,1.03158,1447
2025-01-06 06:00:00+00:00,1.03156,1.03168,1.03122,1.03145,1017
2025-01-06 07:00:00+00:00,1.03146,1.03175,1.0308,1.03083,1480
2025-01-06 08:00:00+00:00,1.03082,1.03159,1.03071,1.0312,1746
2025-01-06 09:00:00+00:00,1.03119,1.03278,1.03093,1.03267,3072
2025-01-06 10:00:00+00:00,1.03268,1.0352,1.03261,1.03494,5065
2025-01-06 11:00:00+00:00,1.03494,1.03683,1.03396,1.0355,6758
2025-01-06 12:00:00+00:00,1.03552,1.03575,1.03345,1.03346,3503
2025-01-06 13:00:00+00:00,1.03346,1.04319,1.0328,1.04213,11837
2025-01-06 14:00:00+00:00,1.04214,1.043,1.03914,1.04102,7319
2025-01-06 15:00:00+00:00,1.04104,1.04362,1.04038,1.04162,8762
2025-01-06 16:00:00+00:00,1.04163,1.04232,1.03517,1.03921,12177
2025-01-06 17:00:00+00:00,1.03921,1.03983,1.03709,1.03929,10422
2025-01-06 18:00:00+00:00,1.03931,1.04023,1.03849,1.03963,6141
2025-01-06 19:00:00+00:00,1.03962,1.03962,1.03786,1.03869,3689
2025-01-06 20:00:00+00:00,1.0387,1.03887,1.03765,1.03813,3379
2025-01-06 21:00:00+00:00,1.03814,1.03912,1.03782,1.03878,3492
2025-01-06 22:00:00+00:00,1.03878,1.03914,1.03852,1.03872,2550
2025-01-06 23:00:00+00:00,1.03875,1.03916,1.03855,1.0389,1052
2025-01-07 00:00:00+00:00,1.0389,1.0392,1.03742,1.03881,772
2025-01-07 01:00:00+00:00,1.03886,1.03893,1.03812,1.03828,904
2025-01-07 02:00:00+00:00,1.03827,1.03849,1.03766,1.03837,2239
2025-01-07 03:00:00+00:00,1.03834,1.03841,1.03755,1.03806,2827
2025-01-07 04:00:00+00:00,1.03803,1.03848,1.03794,1.03818,1829
2025-01-07 05:00:00+00:00,1.03816,1.03924,1.03796,1.03922,1272
2025-01-07 06:00:00+00:00,1.03923,1.03939,1.03898,1.03912,1129
