time,open,high,low,close,volume
2025-03-25 06:50:00+00:00,150.527,150.588,150.526,150.558,345
2025-03-25 06:55:00+00:00,150.558,150.566,150.536,150.554,349
2025-03-25 07:00:00+00:00,150.554,150.565,150.499,150.499,304
2025-03-25 07:05:00+00:00,150.498,150.54,150.498,150.508,269
2025-03-25 07:10:00+00:00,150.509,150.523,150.477,150.48,431
2025-03-25 07:15:00+00:00,150.48,150.533,150.476,150.516,314
2025-03-25 07:20:00+00:00,150.517,150.517,150.455,150.469,228
2025-03-25 07:25:00+00:00,150.471,150.474,150.426,150.457,256
2025-03-25 07:30:00+00:00,150.457,150.46,150.435,150.44,316
2025-03-25 07:35:00+00:00,150.441,150.454,150.429,150.433,297
2025-03-25 07:40:00+00:00,150.434,150.454,150.42,150.421,363
2025-03-25 07:45:00+00:00,150.42,150.473,150.419,150.471,308
2025-03-25 07:50:00+00:00,150.471,150.476,150.457,150.462,206
2025-03-25 07:55:00+00:00,150.462,150.465,150.425,150.425,325
2025-03-25 08:00:00+00:00,150.428,150.451,150.412,150.423,462
2025-03-25 08:05:00+00:00,150.424,150.476,150.412,150.475,349
2025-03-25 08:10:00+00:00,150.475,150.566,150.475,150.554,533
2025-03-25 08:15:00+00:00,150.552,150.563,150.543,150.549,304
2025-03-25 08:20:00+00:00,150.55,150.563,150.5,150.513,314
2025-03-25 08:25:00+00:00,150.514,150.555,150.511,150.552,426
2025-03-25 08:30:00+00:00,150.551,150.574,150.516,150.516,391
2025-03-25 08:35:00+00:00,150.516,150.568,150.516,150.557,251
2025-03-25 08:40:00+00:00,150.558,150.559,150.515,150.52,337
2025-03-25 08:45:00+00:00,150.521,150.524,150.444,150.447,331
2025-03-25 08:50:00+00:00,150.448,150.505,150.431,150.492,488
2025-03-25 08:55:00+00:00,150.498,150.549,150.491,150.546,259
2025-03-25 09:00:00+00:00,150.548,150.592,150.537,150.583,478
2025-03-25 09:05:00+00:00,150.583,150.611,150.564,150.567,430
2025-03-25 09:10:00+00:00,150.566,150.595,150.533,150.533,384
2025-03-25 09:15:00+00:00,150.533,150.617,150.533,150.608,424
2025-03-25 09:20:00+00:00,150.609,150.638,150.59,150.619,480
2025-03-25 09:25:00+00:00,150.618,150.676,150.616,150.67,406
2025-03-25 09:30:00+00:00,150.671,150.679,150.62,150.635,420
2025-03-25 09:35:00+00:00,150.636,150.685,150.626,150.684,390
2025-03-25 09:40:00+00:00,150.684,150.734,150.682,150.728,378
2025-03-25 09:45:00+00:00,150.728,150.741,150.69,150.691,252
2025-03-25 09:50:00+00:00,150.695,150.697,150.647,150.663,307
2025-03-25 09:55:00+00:00,150.662,150.736,150.662,150.721,512
2025-03-25 10:00:00+00:00,150.723,150.76,150.713,150.723,666
2025-03-25 10:05:00+00:00,150.724,150.745,150.666,150.678,514
2025-03-25 10:10:00+00:00,150.678,150.688,150.625,150.626,502
2025-03-25 10:15:00+00:00,150.627,150.673,150.605,150.615,455
2025-03-25 10:20:00+00:00,150.616,150.644,150.587,150.637,513
2025-03-25 10:25:00+00:00,150.637,150.645,150.613,150.623,571
2025-03-25 10:30:00+00:00,150.623,150.645,150.566,150.566,536
2025-03-25 10:35:00+00:00,150.567,150.589,150.547,150.549,510
2025-03-25 10:40:00+00:00,150.55,150.628,150.544,150.622,481
2025-03-25 10:45:00+00:00,150.619,150.642,150.611,150.63,392
2025-03-25 10:50:00+00:00,150.629,150.652,150.609,150.617,338
2025-03-25 10:55:00+00:00,150.617,150.651,150.602,150.62,217
2025-03-25 11:00:00+00:00,150.62,150.669,150.6,150.624,410
2025-03-25 11:05:00+00:00,150.623,150.636,150.574,150.575,449
2025-03-25 11:10:00+00:00,150.575,150.603,150.562,150.589,444
2025-03-25 11:15:00+00:00,150.588,150.592,150.532,150.554,451
2025-03-25 11:20:00+00:00,150.554,150.582,150.529,150.536,399
2025-03-25 11:25:00+00:00,150.534,150.614,150.534,150.608,393
2025-03-25 11:30:00+00:00,150.609,150.629,150.595,150.625,390
2025-03-25 11:35:00+00:00,150.623,150.628,150.588,150.599,286
2025-03-25 11:40:00+00:00,150.597,150.606,150.561,150.564,322
2025-03-25 11:45:00+00:00,150.565,150.566,150.467,150.475,347
2025-03-25 11:50:00+00:00,150.475,150.483,150.399,150.47,624
2025-03-25 11:55:00+00:00,150.471,150.489,150.413,150.486,534
2025-03-25 12:00:00+00:00,150.486,150.498,150.409,150.443,641
2025-03-25 12:05:00+00:00,150.444,150.445,150.405,150.41,325
2025-03-25 12:10:00+00:00,150.411,150.411,150.309,150.321,493
2025-03-25 12:15:00+00:00,150.321,150.382,150.318,150.356,387
2025-03-25 12:20:00+00:00,150.357,150.381,150.332,150.337,502
2025-03-25 12:25:00+00:00,150.338,150.349,150.302,150.342,486
2025-03-25 12:30:00+00:00,150.346,150.399,150.322,150.386,424
2025-03-25 12:35:00+00:00,150.385,150.386,150.24,150.242,562
2025-03-25 12:40:00+00:00,150.243,150.285,150.198,150.212,400
2025-03-25 12:45:00+00:00,150.216,150.247,150.172,150.196,558
2025-03-25 12:50:00+00:00,150.197,150.221,150.186,150.208,414
2025-03-25 12:55:00+00:00,150.209,150.223,150.186,150.204,383
2025-03-25 13:00:00+00:00,150.205,150.258,150.161,150.24,579
2025-03-25 13:05:00+00:00,150.241,150.248,150.174,150.178,385
2025-03-25 13:10:00+00:00,150.179,150.179,150.096,150.132,807
2025-03-25 13:15:00+00:00,150.132,150.134,150.091,150.125,389
2025-03-25 13:20:00+00:00,150.126,150.14,150.093,150.095,456
2025-03-25 13:25:00+00:00,150.094,150.138,150.068,150.13,426
2025-03-25 13:30:00+00:00,150.13,150.144,150.074,150.144,588
2025-03-25 13:35:00+00:00,150.143,150.154,150.108,150.14,451
2025-03-25 13:40:00+00:00,150.14,150.151,150.097,150.099,453
2025-03-25 13:45:00+00:00,150.098,150.105,150.055,150.102,365
2025-03-25 13:50:00+00:00,150.101,150.149,150.089,150.144,388
2025-03-25 13:55:00+00:00,150.144,150.202,150.139,150.175,401
2025-03-25 14:00:00+00:00,150.175,150.175,150.107,150.135,583
2025-03-25 14:05:00+00:00,150.134,150.148,150.087,150.098,481
2025-03-25 14:10:00+00:00,150.096,150.13,150.068,150.115,439
2025-03-25 14:15:00+00:00,150.115,150.129,150.076,150.106,421
2025-03-25 14:20:00+00:00,150.106,150.149,150.079,150.094,543
2025-03-25 14:25:00+00:00,150.094,150.095,150.058,150.08,545
2025-03-25 14:30:00+00:00,150.079,150.08,150.007,150.028,541
2025-03-25 14:35:00+00:00,150.028,150.06,149.988,150.035,583
2025-03-25 14:40:00+00:00,150.036,150.048,149.909,149.934,696
2025-03-25 14:45:00+00:00,149.935,149.941,149.876,149.902,689
2025-03-25 14:50:00+00:00,149.903,149.93,149.856,149.912,787
2025-03-25 14:55:00+00:00,149.914,149.969,149.908,149.961,549
2025-03-25 15:00:00+00:00,149.96,149.973,149.897,149.919,546
2025-03-25 15:05:00+00:00,149.918,149.947,149.878,149.942,703
2025-03-25 15:10:00+00:00,149.943,149.949,149.894,149.911,696
2025-03-25 15:15:00+00:00,149.911,149.927,149.876,149.889,767
2025-03-25 15:20:00+00:00,149.89,149.892,149.84,149.853,669
2025-03-25 15:25:00+00:00,149.853,149.858,149.77,149.789,641
2025-03-25 15:30:00+00:00,149.789,149.839,149.755,149.788,845
2025-03-25 15:35:00+00:00,149.788,149.814,149.755,149.803,886
2025-03-25 15:40:00+00:00,149.803,149.849,149.713,149.755,916
2025-03-25 15:45:00+00:00,149.755,149.807,149.73,149.732,1031
2025-03-25 15:50:00+00:00,149.731,149.836,149.721,149.822,1119
2025-03-25 15:55:00+00:00,149.823,149.848,149.779,149.779,648
2025-03-25 16:00:00+00:00,149.769,149.781,149.663,149.725,967
2025-03-25 16:05:00+00:00,149.726,149.77,149.673,149.763,1365
2025-03-25 16:10:00+00:00,149.764,149.864,149.754,149.823,1016
2025-03-25 16:15:00+00:00,149.824,149.865,149.808,149.81,867
2025-03-25 16:20:00+00:00,149.814,149.838,149.741,149.745,777
2025-03-25 16:25:00+00:00,149.755,149.803,149.72,149.802,907
2025-03-25 16:30:00+00:00,149.807,149.836,149.754,149.772,836
2025-03-25 16:35:00+00:00,149.776,149.801,149.746,149.775,649
2025-03-25 16:40:00+00:00,149.78,149.784,149.718,149.743,741
2025-03-25 16:45:00+00:00,149.743,149.784,149.722,149.748,760
2025-03-25 16:50:00+00:00,149.747,149.817,149.668,149.689,710
2025-03-25 16:55:00+00:00,149.689,149.729,149.666,149.719,965
2025-03-25 17:00:00+00:00,149.72,149.79,149.692,149.702,642
2025-03-25 17:05:00+00:00,149.699,149.804,149.698,149.769,626
2025-03-25 17:10:00+00:00,149.765,149.767,149.675,149.677,730
2025-03-25 17:15:00+00:00,149.678,149.716,149.63,149.638,582
2025-03-25 17:20:00+00:00,149.638,149.646,149.58,149.618,636
2025-03-25 17:25:00+00:00,149.618,149.624,149.55,149.554,618
2025-03-25 17:30:00+00:00,149.554,149.616,149.547,149.607,619
2025-03-25 17:35:00+00:00,149.606,149.616,149.544,149.57,640
